legacy_id	new_id
DMP0867	P-0000918-T01
DMP0856	P-0000919-T01
DMP0861	P-0000920-T01
DMP0864	P-0000922-T01
DMP0854	P-0000923-T01
DMP0863	P-0000924-T01
DMP0862	P-0000153-T02
DMP0860	P-0000925-T01
DMP0857	P-0000926-T01
DMP0858	P-0000927-T01
DMP0855	P-0000928-T01
DMP0866	P-0000929-T01
DMP0879	P-0000930-T01
DMP0876	P-0000931-T01
DMP0871	P-0000932-T01
DMP0869	P-0000933-T01
DMP0873	P-0000934-T01
DMP0878	P-0000935-T01
DMP0872	P-0000936-T01
DMP0868	P-0000938-T01
DMP0875	P-0000939-T01
DMP0874	P-0000940-T01
DMP0877	P-0000942-T01
DMP0870	P-0000943-T01
DMP0880	P-0000944-T01
DMP0890	P-0000946-T01
DMP0883	P-0000947-T01
DMP0889	P-0000948-T01
DMP0892	P-0000949-T01
DMP0881	P-0000950-T01
DMP0884	P-0000951-T01
DMP0888	P-0000952-T01
DMP0882	P-0000950-T02
DMP0891	P-0000954-T01
DMP0887	P-0000956-T01
DMP0886	P-0000957-T01
DMP0885	P-0000958-T01
DMP0947	P-0000969-T01
DMP0950	P-0000960-T01
DMP0954	P-0000646-T02
DMP0953	P-0000968-T01
DMP0952	P-0000970-T01
DMP0955	P-0000961-T01
DMP0948	P-0000967-T01
DMP0945	P-0000965-T01
DMP0946	P-0000973-T01
DMP0944	P-0000962-T01
DMP0949	P-0000972-T01
DMP0899	P-0000817-T01
DMP0902	P-0000976-T01
DMP0896	P-0000977-T01
DMP0893	P-0000978-T01
DMP0894	P-0000979-T01
DMP0903	P-0000980-T01
DMP0898	P-0000982-T01
DMP0895	P-0000984-T01
DMP0900	P-0000985-T01
DMP0897	P-0000987-T01
DMP0901	P-0000988-T01
DMP0908	P-0000989-T01
DMP0911	P-0000991-T01
DMP0916	P-0000992-T01
DMP0915	P-0000993-T01
DMP0909	P-0000994-T01
DMP0904	P-0000995-T01
DMP0910	P-0000997-T01
DMP0914	P-0000998-T01
DMP0905	P-0000999-T01
DMP0912	P-0001000-T01
DMP0913	P-0001001-T01
DMP0906	P-0001002-T01
DMP0907	P-0001003-T01
DMP0927	P-0001004-T01
DMP0918	P-0001005-T01
DMP0930	P-0001006-T01
DMP0928	P-0001007-T01
DMP0924	P-0001008-T01
DMP0920	P-0001009-T01
DMP0925	P-0001010-T01
DMP0923	P-0001011-T01
DMP0917	P-0001012-T01
DMP0921	P-0001013-T01
DMP0919	P-0001014-T01
DMP0931	P-0001015-T01
DMP0929	P-0001016-T01
DMP0922	P-0001017-T01
DMP0926	P-0001018-T01
DMP0932	P-0001019-T01
DMP0942	P-0001020-T01
DMP0940	P-0001021-T01
DMP0933	P-0001023-T01
DMP0936	P-0001026-T01
DMP0935	P-0001027-T01
DMP0943	P-0000377-T02
DMP0937	P-0001028-T01
DMP0938	P-0001029-T01
DMP0941	P-0001030-T01
DMP0934	P-0001031-T01
DMP0939	P-0001034-T01
DMP0971	P-0001035-T01
DMP0965	P-0001036-T01
DMP0962	P-0001037-T01
DMP0958	P-0001038-T01
DMP0969	P-0001039-T01
DMP0964	P-0001040-T01
DMP0966	P-0001041-T01
DMP0960	P-0001042-T01
DMP0968	P-0001043-T01
DMP0970	P-0000903-T02
DMP0961	P-0001044-T01
DMP0956	P-0001045-T01
DMP0959	P-0001046-T01
DMP0963	P-0001047-T01
DMP0957	P-0001048-T01
DMP0981	P-0001049-T01
DMP0982	P-0001050-T01
DMP0980	P-0001051-T01
DMP0967	P-0001052-T01
DMP0979	P-0001053-T01
