mature	genome_ID
hsa-miR-33b*	hsa-mir-33b
hsa-miR-340	hsa-mir-340
hsa-miR-340*	hsa-mir-340
hsa-miR-342-3p	hsa-mir-342
hsa-miR-342-5p	hsa-mir-342
hsa-miR-345	hsa-mir-345
hsa-miR-346	hsa-mir-346
hsa-miR-34a	hsa-mir-34a
hsa-miR-34a*	hsa-mir-34a
hsa-miR-34b	hsa-mir-34b
hsa-miR-34b*	hsa-mir-34b
hsa-miR-34c-3p	hsa-mir-34c
hsa-miR-34c-5p	hsa-mir-34c
hsa-miR-361-3p	hsa-mir-361
hsa-miR-361-5p	hsa-mir-361
hsa-miR-362-3p	hsa-mir-362
hsa-miR-362-5p	hsa-mir-362
hsa-miR-363	hsa-mir-363
hsa-miR-363*	hsa-mir-363
hsa-miR-365	hsa-mir-365-1
hsa-miR-365	hsa-mir-365-2
hsa-miR-365*	hsa-mir-365-2
hsa-miR-367	hsa-mir-367
hsa-miR-367*	hsa-mir-367
hsa-miR-369-3p	hsa-mir-369
hsa-miR-369-5p	hsa-mir-369
hsa-miR-370	hsa-mir-370
hsa-miR-371-3p	hsa-mir-371
hsa-miR-371-5p	hsa-mir-371
hsa-miR-372	hsa-mir-372
hsa-miR-373	hsa-mir-373
hsa-miR-373*	hsa-mir-373
hsa-miR-374a	hsa-mir-374a
hsa-miR-374a*	hsa-mir-374a
hsa-miR-374b	hsa-mir-374b
hsa-miR-374b*	hsa-mir-374b
hsa-miR-375	hsa-mir-375
hsa-miR-376a	hsa-mir-376a-1
hsa-miR-376a	hsa-mir-376a-2
hsa-miR-376a*	hsa-mir-376a-1
hsa-miR-376b	hsa-mir-376b
hsa-miR-376c	hsa-mir-376c
hsa-miR-377	hsa-mir-377
hsa-miR-377*	hsa-mir-377
hsa-miR-378	hsa-mir-378
hsa-miR-378*	hsa-mir-378
hsa-miR-379	hsa-mir-379
hsa-miR-379*	hsa-mir-379
hsa-miR-380	hsa-mir-380
hsa-miR-380*	hsa-mir-380
hsa-miR-381	hsa-mir-381
hsa-miR-382	hsa-mir-382
hsa-miR-383	hsa-mir-383
hsa-miR-384	hsa-mir-384
hsa-miR-409-3p	hsa-mir-409
hsa-miR-409-5p	hsa-mir-409
hsa-miR-410	hsa-mir-410
hsa-miR-411	hsa-mir-411
hsa-miR-411*	hsa-mir-411
hsa-miR-412	hsa-mir-412
hsa-miR-421	hsa-mir-421
hsa-miR-422a	hsa-mir-422a
hsa-miR-423-3p	hsa-mir-423
hsa-miR-423-5p	hsa-mir-423
hsa-miR-424	hsa-mir-424
hsa-miR-424*	hsa-mir-424
hsa-miR-425	hsa-mir-425
hsa-miR-425*	hsa-mir-425
hsa-miR-429	hsa-mir-429
hsa-miR-431	hsa-mir-431
hsa-miR-431*	hsa-mir-431
hsa-miR-432	hsa-mir-432
hsa-miR-432*	hsa-mir-432
hsa-miR-433	hsa-mir-433
hsa-miR-448	hsa-mir-448
hsa-miR-449a	hsa-mir-449a
hsa-miR-449b	hsa-mir-449b
hsa-miR-449b*	hsa-mir-449b
hsa-miR-449c	hsa-mir-449c
hsa-miR-449c*	hsa-mir-449c
hsa-miR-450a	hsa-mir-450a-1
hsa-miR-450a	hsa-mir-450a-2
hsa-miR-450b-3p	hsa-mir-450b
hsa-miR-450b-5p	hsa-mir-450b
hsa-miR-451	hsa-mir-451
hsa-miR-452	hsa-mir-452
hsa-miR-452*	hsa-mir-452
hsa-miR-453	hsa-mir-453
hsa-miR-454	hsa-mir-454
hsa-miR-454*	hsa-mir-454
hsa-miR-455-3p	hsa-mir-455
hsa-miR-455-5p	hsa-mir-455
hsa-miR-483-3p	hsa-mir-483
hsa-miR-483-5p	hsa-mir-483
hsa-miR-484	hsa-mir-484
hsa-miR-485-3p	hsa-mir-485
hsa-miR-485-5p	hsa-mir-485
hsa-miR-486-3p	hsa-mir-486
hsa-miR-486-5p	hsa-mir-486
hsa-miR-487a	hsa-mir-487a
hsa-miR-487b	hsa-mir-487b
hsa-miR-488	hsa-mir-488
hsa-miR-488*	hsa-mir-488
hsa-miR-489	hsa-mir-489
hsa-miR-490-3p	hsa-mir-490
hsa-miR-490-5p	hsa-mir-490
hsa-miR-491-3p	hsa-mir-491
hsa-miR-491-5p	hsa-mir-491
hsa-miR-492	hsa-mir-492
hsa-miR-493	hsa-mir-493
hsa-miR-493*	hsa-mir-493
hsa-miR-494	hsa-mir-494
hsa-miR-495	hsa-mir-495
hsa-miR-496	hsa-mir-496
hsa-miR-497	hsa-mir-497
hsa-miR-497*	hsa-mir-497
hsa-miR-498	hsa-mir-498
hsa-miR-499-3p	hsa-mir-499
hsa-miR-499-5p	hsa-mir-499
hsa-miR-500	hsa-mir-500
hsa-miR-500*	hsa-mir-500
hsa-miR-501-3p	hsa-mir-501
hsa-miR-501-5p	hsa-mir-501
hsa-miR-502-3p	hsa-mir-502
hsa-miR-502-5p	hsa-mir-502
hsa-miR-503	hsa-mir-503
hsa-miR-504	hsa-mir-504
hsa-miR-505	hsa-mir-505
hsa-miR-505*	hsa-mir-505
hsa-miR-506	hsa-mir-506
hsa-miR-507	hsa-mir-507
hsa-miR-508-3p	hsa-mir-508
hsa-miR-508-5p	hsa-mir-508
hsa-miR-509-3-5p	hsa-mir-509-3
hsa-miR-509-3p	hsa-mir-509-1
hsa-miR-509-3p	hsa-mir-509-2
hsa-miR-509-3p	hsa-mir-509-3
hsa-miR-509-5p	hsa-mir-509-1
hsa-miR-509-5p	hsa-mir-509-2
hsa-miR-510	hsa-mir-510
hsa-miR-511	hsa-mir-511-1
hsa-miR-511	hsa-mir-511-2
hsa-miR-512-3p	hsa-mir-512-1
hsa-miR-512-3p	hsa-mir-512-2
hsa-miR-512-5p	hsa-mir-512-1
hsa-miR-512-5p	hsa-mir-512-2
hsa-miR-513a-3p	hsa-mir-513a-1
hsa-miR-513a-3p	hsa-mir-513a-2
hsa-miR-513a-5p	hsa-mir-513a-1
hsa-miR-513a-5p	hsa-mir-513a-2
hsa-miR-513b	hsa-mir-513b
hsa-miR-513c	hsa-mir-513c
hsa-miR-514	hsa-mir-514-1
hsa-miR-514	hsa-mir-514-2
hsa-miR-514	hsa-mir-514-3
hsa-miR-515-3p	hsa-mir-515-1
hsa-miR-515-3p	hsa-mir-515-2
hsa-miR-515-5p	hsa-mir-515-1
hsa-miR-515-5p	hsa-mir-515-2
hsa-miR-516a-3p	hsa-mir-516a-1
hsa-miR-516a-3p	hsa-mir-516a-2
hsa-miR-516a-5p	hsa-mir-516a-1
hsa-miR-516a-5p	hsa-mir-516a-2
hsa-miR-516b	hsa-mir-516b-1
hsa-miR-516b	hsa-mir-516b-2
hsa-miR-516b*	hsa-mir-516b-1
hsa-miR-516b*	hsa-mir-516b-2
hsa-miR-517*	hsa-mir-517a
hsa-miR-517*	hsa-mir-517b
hsa-miR-517*	hsa-mir-517c
hsa-miR-517a	hsa-mir-517a
hsa-miR-517b	hsa-mir-517b
hsa-miR-517c	hsa-mir-517c
hsa-miR-518a-3p	hsa-mir-518a-1
