precusor	mature	alias
hsa-mir-6812	hsa-miR-6812-3p	mir-6812/3p
hsa-mir-6811	hsa-miR-6811-5p	mir-6811/5p
hsa-mir-6811	hsa-miR-6811-3p	mir-6811/3p
hsa-mir-6810	hsa-miR-6810-5p	mir-6810/5p
hsa-mir-6810	hsa-miR-6810-3p	mir-6810/3p
hsa-mir-6809	hsa-miR-6809-5p	mir-6809/5p
hsa-mir-6809	hsa-miR-6809-3p	mir-6809/3p
hsa-mir-6808	hsa-miR-6808-5p	mir-6808/5p
hsa-mir-6808	hsa-miR-6808-3p	mir-6808/3p
hsa-mir-6807	hsa-miR-6807-5p	mir-6807/5p
hsa-mir-6807	hsa-miR-6807-3p	mir-6807/3p
hsa-mir-6806	hsa-miR-6806-5p	mir-6806/5p
hsa-mir-6806	hsa-miR-6806-3p	mir-6806/3p
hsa-mir-6805	hsa-miR-6805-5p	mir-6805/5p
hsa-mir-6805	hsa-miR-6805-3p	mir-6805/3p
hsa-mir-7641-1	hsa-miR-7641	mir-7641-1/7641
hsa-mir-6804	hsa-miR-6804-5p	mir-6804/5p
hsa-mir-6804	hsa-miR-6804-3p	mir-6804/3p
hsa-mir-6803	hsa-miR-6803-5p	mir-6803/5p
hsa-mir-6803	hsa-miR-6803-3p	mir-6803/3p
hsa-mir-6802	hsa-miR-6802-5p	mir-6802/5p
hsa-mir-6802	hsa-miR-6802-3p	mir-6802/3p
hsa-mir-6801	hsa-miR-6801-5p	mir-6801/5p
hsa-mir-6801	hsa-miR-6801-3p	mir-6801/3p
hsa-mir-6800	hsa-miR-6800-5p	mir-6800/5p
hsa-mir-6800	hsa-miR-6800-3p	mir-6800/3p
hsa-mir-7702	hsa-miR-7702	mir-7702/7702
hsa-mir-7703	hsa-miR-7703	mir-7703/7703
hsa-mir-6799	hsa-miR-6799-5p	mir-6799/5p
hsa-mir-6799	hsa-miR-6799-3p	mir-6799/3p
hsa-mir-6798	hsa-miR-6798-5p	mir-6798/5p
hsa-mir-6798	hsa-miR-6798-3p	mir-6798/3p
hsa-mir-6797	hsa-miR-6797-5p	mir-6797/5p
hsa-mir-6797	hsa-miR-6797-3p	mir-6797/3p
hsa-mir-7706	hsa-miR-7706	mir-7706/7706
hsa-mir-6796	hsa-miR-6796-5p	mir-6796/5p
hsa-mir-6796	hsa-miR-6796-3p	mir-6796/3p
hsa-mir-6795	hsa-miR-6795-5p	mir-6795/5p
hsa-mir-6795	hsa-miR-6795-3p	mir-6795/3p
hsa-mir-6794	hsa-miR-6794-5p	mir-6794/5p
hsa-mir-6794	hsa-miR-6794-3p	mir-6794/3p
hsa-mir-7844	hsa-miR-7844-5p	mir-7844/5p
hsa-mir-7845	hsa-miR-7845-5p	mir-7845/5p
hsa-mir-7846	hsa-miR-7846-3p	mir-7846/3p
hsa-mir-7849	hsa-miR-7849-3p	mir-7849/3p
